text,brand,sentiment,sentiment_simple,parent_brand
how's the line at #sxsw apple store for the #ipad?,Apple,No emotion toward brand or product,Neutral,Apple
there's a line at #sxsw apple store on ipad day 2! {link},Apple,Positive emotion,Positive,Apple
anyone in line at the temporary apple store in austin has any idea till how late they'll be open tonight? #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
people in line for ipad 2 passing time surfing on ipad 1. #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
"saw giant line, thought it was for movie premiere. it was at apple store for ipad 2. heard more screams than at premiere! #sxsw",iPad,Positive emotion,Positive,Apple
are there lines at the temp apple store in austin yet? #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
my people listening to #google #sxsw @mention  {link},Google,No emotion toward brand or product,Neutral,Google
"since i'm listening to google's marissa mayer, but engaging on twitter i'm wondering what the heck happened to google buzz. #sxsw",Other Google product or service,Positive emotion,Positive,Google
"location, location location ! {link} via @mention from #google during #sxsw",Google,No emotion toward brand or product,Neutral,Google
#tech one lone dude awaits #ipad_2 at #appleûªs #sxsw store: apple likely expected a bigger crowd forming... {link} #technology,Apple,No emotion toward brand or product,Neutral,Apple
i bet the longest ipad lines are gonna be in austin. #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
getting a look at google's impact dashboard for the first time. #sxsw,Google,No emotion toward brand or product,Neutral,Google
google is looking at social signals more and more for search results. #qagb #sxsw,Google,No emotion toward brand or product,Neutral,Google
for those looking for hig-like guidelines when designing for android {link} by adam beckley #uxamandroid @mention #sxsw,Google,No emotion toward brand or product,Neutral,Google
i've been looking forward to the google/bing q/a on website ranking all week. #sxsw,Google,Positive emotion,Positive,Google
if anyone lost an iphone in a cab in downtown austin last night please hit me up. #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
if anyone lost an iphone in the back of a cab in downtown austin around 10.30-11p tonight please hit me up #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
there's a lot of drinking &amp; drawing at the google sketchup party #sxsw,Google,No emotion toward brand or product,Neutral,Google
there are lots of other google efforts helping japan! and many other global issues. :)  rt @mention rt @mention wtf is up w/people at #sxsw,Google,Positive emotion,Positive,Google
"you gotta love @mention @mention unabashed apple #fanboy &gt;&gt; before it even begins, apple wins #sxsw :: {link}",Apple,Positive emotion,Positive,Apple
so geeky! love it! rt @mention apple is opening up a temporary store in downtown austin for #sxsw and the ipad 2 launch {link},Apple,Positive emotion,Positive,Apple
.@mention love it. @mention @mention #sxsw: &quot;apple comes up w/ cool technology no one's ever heard of because they don't go 2 conferences&quot; me 2!,Apple,Positive emotion,Positive,Apple
ûï@mention love it. @mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;û,Apple,Positive emotion,Positive,Apple
sketchily lurking @mention big boi #sxsw concert on iphone business with 8am hard (read: massive announcement) deadline. #lovemyjob @mention,Apple,No emotion toward brand or product,Neutral,Apple
"trying to make a detailed, colour coded, google calendar for #sxsw is proving to be really tough. also, when did i get this organized?!",Google,Positive emotion,Positive,Google
#technews man panhandling for an ipad 2 at sxsw. whatûªs the world coming to? {link} #tech_news #ipad_2 #sxsw #tech,Apple,No emotion toward brand or product,Neutral,Apple
&quot;how many people have ipads?&quot; whole room raises hand. &quot;ipad 2's?&quot; half the room raises hand. #stillonamacbook #shame #sxsw #nfusion,Apple,Positive emotion,Positive,Apple
"rt hiring marketers, designers, creatives, social media pros... come see #aquent booth 1415 #sxsw trade show. might win ipad 2",Apple,No emotion toward brand or product,Neutral,Apple
i love it marketing genius.. #sxsw rt @mention inside apple's temporary store in austin {link},Apple,Positive emotion,Positive,Apple
great vid marty! rt @mention #ipad2 live unboxing in front of the #sxsw apple store [video] {link},iPad,Positive emotion,Positive,Apple
i think i may go ipad only -- no laptop -- today at #sxswi.  any #sxsw veterans have any reasons why i shouldn't?,iPad,Positive emotion,Positive,Apple
they made me a #soundcloud ambassador for #sxsw i upload music from shows &amp; they reward me rt @mention this soundcloud android app is fresh,Android App,Positive emotion,Positive,Google
"come find me at the @mention booth, i have 2 @mention #ipad cases left and we have 1 more @mention to win! #cbatsxsw #sxsw",Apple,No emotion toward brand or product,Neutral,Apple
it amazes me how many people don't tuck the flap in on their apple ipad case #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
what omfg means please? {link} webber ipad #sxsw dionne warwick,Apple,No emotion toward brand or product,Neutral,Apple
alert the media.  i just saw the one and only android tablet at #sxsw.  like finding a needle in a haystack!  i also saw a cr-48.,Android,Positive emotion,Positive,Google
but great mental image. rt @mention people in this session are taking photos w/ their ipad 2s up in the air... #doingitwrong #sxsw,Apple,Positive emotion,Positive,Apple
purchased mexican mavis by boy &amp; bear... sold! on first listen. thanks #sxsw #itunes #free {link} #itunes,Other Apple product or service,Positive emotion,Positive,Apple
"comprando mi ipad 2 en el #sxsw (@mention apple store, sxsw w/ 62 others) {link}",Apple,I can't tell,Neutral,Apple
i think i might go all weekend without seeing the same ipad case twice... #sxsw,iPad,Positive emotion,Positive,Apple
for sure! mine does via ipad rt @mention you know you are an #agnerd if your #dairy relies on evernote!  {link} #sxsw #agchat,iPad,Positive emotion,Positive,Apple
"bummed to miss #sxsw this year, but we're all quarantined with the same kiddie cold, and i have garageband on my ipad to comfort me. #fb",iPad,Positive emotion,Positive,Apple
how did i miss this?! i knew i spotted nfc enabled google places marker at birds! no wonder all the billboard near #sxsw {link},Google,Positive emotion,Positive,Google
"hootsuite mobile for #sxsw ~ updates for iphone, blackberry &amp; android {link}",Apple,No emotion toward brand or product,Neutral,Apple
"hootsuite mobile for #sxsw ~ updates for iphone, blackberry &amp; android {link} (via @mention",Apple,No emotion toward brand or product,Neutral,Apple
"hootsuite mobile for #sxsw ~ updates for iphone, blackberry &amp; android {link} #android #blackberry #keitai",Apple,No emotion toward brand or product,Neutral,Apple
"hootsuite mobile for #sxsw ~ updates for iphone, blackberry &amp; android {link} #hootsuite",Apple,No emotion toward brand or product,Neutral,Apple
"hootsuite mobile for #sxsw ~ updates for iphone, blackberry &amp; android {link} via @mention",Apple,No emotion toward brand or product,Neutral,Apple
"hootsuite mobile for #sxsw ~ updates for iphone, blackberry &amp; android: shared by paulû_ {link} #shared",Apple,No emotion toward brand or product,Neutral,Apple
"hootsuite mobile for #sxsw ~ updates for iphone, blackberry &amp; android: whether youûªre getting friendly down at s... {link}",Apple,No emotion toward brand or product,Neutral,Apple
mashup on mobile with contextual information in the future by #google by marissa mayer #sxsw #thefutureismobile,Google,No emotion toward brand or product,Neutral,Google
"there are more than a few pats here at #sxsw. if you don't know what i'm talking about, please google julia sweeney and learn.",Google,No emotion toward brand or product,Neutral,Google
"well good morning #sxswi day 4... i'm ready for another day of great panels, bc alumni &amp; the industry party tonight! #sxsw #gsdm #google",Google,No emotion toward brand or product,Neutral,Google
loving my morphie juicepack today for a recharge of iphone. so worth it. #sxsw,iPhone,Positive emotion,Positive,Apple
"brilliant move by apple: before it even begins, apple wins #sxsw {link}",Apple,Positive emotion,Positive,Apple
having so much fun handing out chances to win 2 audi cars with @mention #sxsw  (@mention apple store sxsw) {link},Apple,No emotion toward brand or product,Neutral,Apple
how could murphy usa better serve you inside google maps on your phone? -google is announcing great features in v5 #sxsw,Google,Positive emotion,Positive,Google
why can't my #ipad and i be intimate together? #tapworthy #designflaws #sxswi #sxsw,iPad,Positive emotion,Positive,Apple
compiling my #sxsw list in one google doc is taking a lot longer than i thought... so many parties. so many good musicians.,Other Google product or service,Negative emotion,Negative,Google
day 1 and my charger kicked the bucket. where the heck is the apple store that's within walking distance? #sxsw,Apple,Negative emotion,Negative,Apple
#sxsw did my good deed ... returned a lost iphone,Apple,No emotion toward brand or product,Neutral,Apple
"thanks to my good friend, the great @mention for gifting me an exogear iphone backup battery case. priceless at #sxsw",Apple,No emotion toward brand or product,Neutral,Apple
sent from my iphone? rt @mention behind on 100s of emails? give them all 1 line iphone composed replies. #sxsw #protip,Apple,No emotion toward brand or product,Neutral,Apple
"with just my iphone and ipad on me, i feel very unequipped compared to everyone else. dang! #sxsw",iPhone,Negative emotion,Negative,Apple
"headed to my sole #sxsw event, the aclu dotrights/google party",Google,No emotion toward brand or product,Neutral,Google
whats the name of the song? {link} #imthetype ipad #imthetype #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
why do we need a &quot;page flip effect&quot; -ûïlike having a fake needle on a cd-playerû  #tapworthy #sxsw #ipad,Apple,No emotion toward brand or product,Neutral,Apple
"hm? do we need another 1? rt @mention google to launch major new social network called circles, possibly today {link} #sxsw",Google,Negative emotion,Negative,Google
what do u need? @mention groups challenged with coming up with iphone app to solve parenting issues #sxsw #worklifeprogress,Apple,No emotion toward brand or product,Neutral,Apple
.@mention needs the help of a badass android developer right now for a debugging emergency. know anyone? @mention him. #sxsw,Google,No emotion toward brand or product,Neutral,Google
ûï@mention new #ubersocial for #iphone now in the app store includes uberguide to #sxsw sponsored by #mashable {link},iPad or iPhone App,Positive emotion,Positive,Apple
ûï@mention new #ubersocial for #iphone now in the app store includes uberguide to #sxsw sponsored by #mashable {link} -fin'ly!,Apple,No emotion toward brand or product,Neutral,Apple
ûï@mention new #ubersocial for #iphone now in the app store includes uberguide to #sxsw sponsored by #mashableû @mention vamos a probar...,Apple,No emotion toward brand or product,Neutral,Apple
couple of new blogs: random tips on awesome iphone app dev: {link} and the politics behind html5: {link} #sxsw,iPad or iPhone App,Positive emotion,Positive,Apple
why isn't news industry spending more r&amp;d? why wait for apple to innovate for publishers (b/c print is subsidizing efforts.) #newsapps #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
"hootsuite news: hootsuite mobile for #sxsw ~ updates for iphone, blackberry &amp; android {link}",Apple,No emotion toward brand or product,Neutral,Apple
this dude next to me is holding and using an ipad 2 like it's a trophy. #sxsw #lookingforwardtothemusicfest,iPad,Positive emotion,Positive,Apple
there are no hard feelings towards google. @mention says they would make a great partner. #checkins #sxsw #pnid,Google,Positive emotion,Positive,Google
.@mention no. 1 hack they found: people jumping over the corporate firewall (e.g. using google docs etc.) #hackingwork #sxsw,Google,No emotion toward brand or product,Neutral,Google
"hope it's not a flop akabuzz! @mention google to launch major new social network called circles, possibly today {link} #sxsw",Google,No emotion toward brand or product,Neutral,Google
"ûï@mention not a rumor: apple doing popup store in downtown austin for #sxsw &amp; ipad 2 launch {link} smart move, 1of many #dfcbto",Apple,Positive emotion,Positive,Apple
google is not launching any products at #sxsw {link},Google,No emotion toward brand or product,Neutral,Google
"google is not launching anything during #sxsw, just partying {link} #circles",Google,Negative emotion,Negative,Google
"no droid? not surprised. rt @mention spotted at #sxsw: table of three people with 8 phones, an ipad and a macbook out. #gadgetoverload",Apple,No emotion toward brand or product,Neutral,Apple
"to buy or not to buy rt @mention before it even begins, apple winsåê#sxsw {link}",Apple,Positive emotion,Positive,Apple
"farooqui: now about mobile. ios, with android catching up fast and will grow more once they allow in-app purchasing. #gamesfortv #sxsw",Android,Positive emotion,Positive,Google
fear not! now extended through wed! --&gt; rt @mention rt @mention last day for apple popup is sunday 3/13 #sxsw #appleatxdt,Apple,Positive emotion,Positive,Apple
calvin is now the geek charlie sheen with his goddesses. @mention @mention @mention @mention #google #sxsw,Google,No emotion toward brand or product,Neutral,Google
.@mention of @mention &quot;we were getting feedback from #sxsw groups &amp; we pushed out an android fix at the grilled cheese stand yesterday.&quot;,Google,No emotion toward brand or product,Neutral,Google
&quot;all of #sxsw is nothing but a teeming sea of iphone addicts too busy twittering to ever engage with one anothû_ (cont) {link},iPhone,Negative emotion,Negative,Apple
not a fan of a new #sxsw trend - audience sharing opinions via holding up an ipad. not here to listen to you. #annoying,iPad,Negative emotion,Negative,Apple
&quot;40% of all google maps usage is on mobile&quot; - marissa mayer #sxsw,Google,No emotion toward brand or product,Neutral,Google
the power of apple: people who have spent hundreds of dollars to attend #sxsw are spending the day waiting in line for an ipad.,Apple,Positive emotion,Positive,Apple
continuum of attitudes on crowdsourcing: gap is to &quot;i hear you&quot; as apple is to &quot;i'll tell you&quot; #sxsw,Apple,Positive emotion,Positive,Apple
google vp of consumer products marissa mayer says location is everything: {link} #sxsw,Google,No emotion toward brand or product,Neutral,Google
#sxsw 20% of google searches are for local information: marissa mayer. 6 million places claimed by their owners and logged by #google,Google,No emotion toward brand or product,Neutral,Google
third era of google logos = an interactive play space. get ready. #googledoodle #sxsw #gsdm,Other Google product or service,Positive emotion,Positive,Google
"new batch of ipad 2's just delivered #sxsw #ipad2 @mention apple store, sxsw {link} #photo",Apple,No emotion toward brand or product,Neutral,Apple
highlight of my day was undoubtedly meeting @mention from google for 30 seconds after her softball fancrazed preso at #sxsw,Google,Positive emotion,Positive,Google
cool team of startups came via siliconvalley bus hacking apps @mention  ex-google au now on stage w speakermeetup #sxsw at dogpatch labs,Google,No emotion toward brand or product,Neutral,Google
"wow, lots of the #sxsw audience haven't seen the 3d vector panning in google maps for mobile - gasps of appreciation",Other Google product or service,Positive emotion,Positive,Google
#sxsw tip of the day (again ;-). turn your iphone screen brightness down. way down. #conservebatterylife #peace @mention,Apple,No emotion toward brand or product,Neutral,Apple
tomlinson of tx observer says apple subscription data holding is biggest impediment to success. #newsapps #sxsw,Apple,Negative emotion,Negative,Apple
"tip: turn off push &amp; set fetch to manual mode for email (mail,contacts &amp; cal &gt; fetch new data) - saves battery.  #iphone #sxsw",Apple,No emotion toward brand or product,Neutral,Apple
ûï@mention official #sxsw app û÷sxsw goûª {link} #android #iphone #ipadû &lt;thanks!installed,iPad or iPhone App,Positive emotion,Positive,Apple
"zazzle is officially at #sxsw! come by the @mention grille, mention us with #zazzlsxsw and youûªll get to make your own iphone case!",Apple,No emotion toward brand or product,Neutral,Apple
"#technews omg/jk: a kiss for ipad 2, a slap for xoom {link} #tech_news #ipad_2 #jk #omg #sxsw #tech",iPad,Positive emotion,Positive,Apple
"idle time on a #sxsw friday can be an expensive thing. (@mention apple store, sxsw w/ 80 others) [pic]: {link}",Apple,No emotion toward brand or product,Neutral,Apple
it's also on android. :) rt @mention foodspotting's hit iphone app finds the foods you crave {link}  #cnnmoneysxsw #sxsw,Apple,Positive emotion,Positive,Apple
usa today on ipad: makes good use of digital shortcuts while still looking like a newspaper. @mention #tapworthy #sxsw,iPad,Positive emotion,Positive,Apple
"iphone in one hand, caramel macchiato in the other. ouch-hiss-hot!  with apparently two pumps of lava. and so it begins... #sxsw #tmsxsw",iPhone,Positive emotion,Positive,Apple
thats the one i want to get when it hits canada.rt @mention #sxsw ipad store sold out of everything except 64gig wifi only white,Apple,No emotion toward brand or product,Neutral,Apple
#technews one lone dude awaits ipad 2 at appleûªs sxsw store {link} #tech_news #apple #ipad_2 #sxsw #tablets #tech,Apple,No emotion toward brand or product,Neutral,Apple
more than one million ratings per month on google hotpot #sxsw ^pr,Google,No emotion toward brand or product,Neutral,Google
i can haz one? ûï@mention just showed off @mention charge anywhere at a bar to charge my iphone and the whole table wanted to buy one. #sxswû,iPhone,Positive emotion,Positive,Apple
&quot;the only explanation for the continued success of apple is the existence of god.&quot; @mention #enchantment #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
"#apple to open a &quot;pop-up&quot; store across the street from #sxsw for two weeks? umm, genius. if it isn't obvious... *cough (#ipad2) cough*",Apple,Positive emotion,Positive,Apple
#apple to open pop up store at #sxsw in time for #ipad2 sales {link},Apple,No emotion toward brand or product,Neutral,Apple
#apple to open pop-up shop at #sxsw [report] {link},Apple,No emotion toward brand or product,Neutral,Apple
#apple to open pop-up shop at #sxsw [report] {link} (via @mention,Apple,No emotion toward brand or product,Neutral,Apple
#apple to open pop-up shop at #sxsw [report] {link} #property,Apple,No emotion toward brand or product,Neutral,Apple
#apple to open pop-up shop at #sxsw [report]: apple is set to open a temporary store in theû_ {link},Apple,No emotion toward brand or product,Neutral,Apple
#apple to open pop-up shop at #sxsw [report]: apple is set to open a temporary store in the... {link} #realestate #tech,Apple,No emotion toward brand or product,Neutral,Apple
#apple to open pop-up shop at #sxsw {link} via @mention,Apple,No emotion toward brand or product,Neutral,Apple
#apple to open pop-up shop at #sxsw:  {link},Apple,No emotion toward brand or product,Neutral,Apple
#apple to open pop-up shop at sxsw {link} &lt;---cool concept but i wouldn't spend my #sxsw waiting for the #ipad2,iPad,Negative emotion,Negative,Apple
#apple to open temporary store at #sxsw {link},Apple,No emotion toward brand or product,Neutral,Apple
have some open time tues &amp; wed if any news site managers want to chat about google news. let me know! #sxsw,Google,No emotion toward brand or product,Neutral,Google
wear your openbeta vip badge at #sxsw and you might win an ipad from quibids and a case from @mention #sxswbuffalo,Apple,No emotion toward brand or product,Neutral,Apple
"apple has opened a makeshift store for #sxsw, ipad2 will be available at 5pm today... #tempted",iPad,Positive emotion,Positive,Apple
launching our iphone app soon and we're participating to the launchrock comp at #sxsw {link} get your invite now! :),Apple,No emotion toward brand or product,Neutral,Apple
hey #sxsw our new ipad app dexteria is now available {link} like us on facebook {link},iPad or iPhone App,Positive emotion,Positive,Apple
"ipad 2 is out! plenty of people at the store..and in line..scarfing them up. #sxsw (@mention apple store, sxsw w/ 65 others) {link}",iPad,Positive emotion,Positive,Apple
nice line outside #sxsw #apple store! i guess people want some ipad2s!!!,iPad,Positive emotion,Positive,Apple
confusion over google circles. google claim circles is not being released at #sxsw and is not even in development. {link},Google,No emotion toward brand or product,Neutral,Google
@mention  packing a point by showing iphone fragmentation  #sxsw,iPhone,Negative emotion,Negative,Apple
attending panel &quot;better living through cloud computing &quot; presented by google's jon wiley. #sxsw,Google,No emotion toward brand or product,Neutral,Google
one #sxsw panel moderator who is from the europe says he spent $3000 in roaming charges on his iphone at sxsw 2010.,Apple,No emotion toward brand or product,Neutral,Apple
the brown paper on the windows as the line grows at the #sxsw popup apple store by gold's gym at sixth &amp; congress. {link},Apple,No emotion toward brand or product,Neutral,Apple
"#sxsw two parties down (awesome journalism, npr/google), one to go (pbs).",Google,No emotion toward brand or product,Neutral,Google
at google party. best ever! get your butt over here. #sxsw,Google,Positive emotion,Positive,Google
hey #sxsw peeps! our new iphone app on #voicefeed just launched the us: {link} check it out and let us know what you think!,iPad or iPhone App,Positive emotion,Positive,Apple
"watch how people interact with information... it be different, bigger, smaller... #touchingstories #ipad and/or #tablet #sxsw",Apple,No emotion toward brand or product,Neutral,Apple
the #sxsw pepsi max marketing street team has shown up to the popup apple store line handing out drinks &amp; tshirts. {link},Apple,No emotion toward brand or product,Neutral,Apple
"new post: per this rumor, google may preview its big social strategy at an '80s-themed costume party at #sxsw. yep {link}",Google,No emotion toward brand or product,Neutral,Google
instagram photo by iamtimbaker: google's 1980's #sxsw party with @mention {link},Google,No emotion toward brand or product,Neutral,Google
trying to pick up on a theme at #sxsw this year.  i think it may be the opening of data from google to government. #sxsw #bolinsxsw,Google,No emotion toward brand or product,Neutral,Google
google is planning to launch a major new social network called circles. previews so far have been super positive #sxsw {link},Other Google product or service,Positive emotion,Positive,Google
mashable: platform for concertgoers launches android app in time for sxsw - {link} #sxsw {link},Google,No emotion toward brand or product,Neutral,Google
a game to play at swsx... spot non apple electronics. #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
i need to play this game on my #android - #sxsw {link},Android,Positive emotion,Positive,Google
grown men playing legos... google party #sxsw  @mention speakeasy {link},Google,No emotion toward brand or product,Neutral,Google
i left my pocket guide at the hotel. i don't know how i'm going to cope. what does that say about the usability of ipad/iphone app? #sxsw,iPad or iPhone App,Negative emotion,Negative,Apple
"check out poked, liked &amp; re-tweeted: a google love story at sxsw.
{link} #sxsw #sxsw15 #sxswic",Google,No emotion toward brand or product,Neutral,Google
"check out poked, liked &amp; re-tweeted: a google love story at sxsw. #sxsw #sxsw15 #sxswic",Google,No emotion toward brand or product,Neutral,Google
temporary pop shop by #apple at #sxsw and nice flipboard upgrade,Apple,Positive emotion,Positive,Apple
the apple pop up store at #sxsw is no joke.,Apple,Positive emotion,Positive,Apple
found the pop-up apple store at #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
the apple pop-up store is more attractive and impressive than many permanent retail stores. #sxsw,Apple,Positive emotion,Positive,Apple
the apple pop-up store line finally dwindled. time to check out ipad2. #sxsw,iPad,Positive emotion,Positive,Apple
"the apple popup store was off the hook last night at #sxsw - singing, dancing, high fives on new ipad purchase",iPad,Positive emotion,Positive,Apple
"wordpress powers 12% of websites (from #sxsw talk from wp founder).  wow.  the other 88%?  russian spam bots, nigerian bankers, google",Google,No emotion toward brand or product,Neutral,Google
"brilliant pr stunt, business idea and customer service response in one: apple sets up a pop-up store at #sxsw, draws crowds, media &amp; revenue",Apple,Positive emotion,Positive,Apple
"panels on pr, cloud computing, android design, iphone design today. hope to redeem my panel experience in one fell swoop #sxsw",Apple,No emotion toward brand or product,Neutral,Apple
"excellent presentation by @mention on &quot;the untapped ipad market, is your site pour?&quot; #sxsw #poursite #accessibility",iPad,Positive emotion,Positive,Apple
hey #sxsw presenters &amp; attendees! here are tips on how to show presentations on the #ipad and #iphone {link},Apple,No emotion toward brand or product,Neutral,Apple
ipad 2 is pretty sick! almost makes me think i need one! #sxsw,iPad,Positive emotion,Positive,Apple
google to preview new social network called circles at sxsw interactive today - {link} #google #social #sxsw #circles,Google,No emotion toward brand or product,Neutral,Google
google to preview social networking platform at #sxsw conference? {link},Google,No emotion toward brand or product,Neutral,Google
#technews privacy could headline google circles social... {link} #tech_news #aclu #google_circles #social_network #sxsw #tech,Google,No emotion toward brand or product,Neutral,Google
.@mention problem with google living stories was the process of creating content didn't change - was just an interface. #hacknews #sxsw,Other Google product or service,Negative emotion,Negative,Google
im in the q at the apple pop up store #sxsw with @mention and @mention !! :))  {link},Apple,No emotion toward brand or product,Neutral,Apple
"check out q&amp;a with google &amp; bing on website ranking at sxsw.
{link} #sxsw #qagb",Google,No emotion toward brand or product,Neutral,Google
check out q&amp;a with google &amp; bing on website ranking at sxsw. #sxsw #qagb #sxsma,Google,No emotion toward brand or product,Neutral,Google
"ûï@mention qik video connect plus launches today! get live video chat, video mail, share live video to twitter and more  #sxswû make it for ipad",Apple,No emotion toward brand or product,Neutral,Apple
"ne sapete qualcosa? ûï@mention google to launch major new social network called circles, possibly today {link} #sxswû",Google,No emotion toward brand or product,Neutral,Google
now on my radar: google circus. rt @mention google to launch new social network: circles via @mention {link} #pr  #sxsw,Google,No emotion toward brand or product,Neutral,Google
brilliant read: attention marketers and media professionals: the ipad won't save you by @mention  {link} #usguys #sxsw,Apple,Negative emotion,Negative,Apple
"augmented reality? pah! mayer (google) calls it &quot;contextual discovery&quot; ûò doing searches without search, *with users' permission* #sxsw",Google,No emotion toward brand or product,Neutral,Google
".@mention rec: give the bad apple a job in a mtg, such as taking notes. make mtg voluntary =&gt; willing participants. #gamestorming #sxsw",Apple,No emotion toward brand or product,Neutral,Apple
google is reproducing digitally the way you organically consume information. goggles is the best example of that. #sxsw #marissameyer,Google,Positive emotion,Positive,Google
"future of retail instore = party [goods] up front, biz [inventory ]in the back ala #apple mullet #sxsw #kiosks",Apple,No emotion toward brand or product,Neutral,Apple
".@mention retiring from wine library tv, moving onto daily grape. get the app on yr iphone. #thankyouecon #sxsw",iPad or iPhone App,Positive emotion,Positive,Apple
.@mention reveals average time users spent on nyt's oscars ipad app was 16mins: &quot;that blew my mind&quot; #newsapps #sxsw,iPad or iPhone App,Positive emotion,Positive,Apple
"they were right, the @mention 3 app on #android is sweeeeet! nice job by the team there. #sxsw",Android App,Positive emotion,Positive,Google
ûï@mention rt @mention - marissa mayer: google will connect the digital &amp; physical worlds through mobile - {link} #sxswû,Google,No emotion toward brand or product,Neutral,Google
"ûï@mention rt @mention google to launch major new social network called circles, possibly today {link} #sxswû",Google,No emotion toward brand or product,Neutral,Google
"ûï@mention rt @mention google to launch new social network called circles, possibly today {link} #sxswû reported on buzz?",Google,No emotion toward brand or product,Neutral,Google
ûï@mention rt @mention we interrupt your regularly scheduled #sxsw geek programming with big news {link}  #google #circlesû,Google,No emotion toward brand or product,Neutral,Google
@mention  rt @mention apple store downtown austin open til midnight. #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
@mention  rt @mention mayer: 20% of google searches are for local information #sxsw ^pr,Google,No emotion toward brand or product,Neutral,Google
"b_social! rt @mention google to launch major new social network called circles, possibly today {link} #sxsw #in",Google,No emotion toward brand or product,Neutral,Google
congrats! rt @mention good news! austin eats: bbq for iphone is now available - {link} #itunes #austin #bbq #sxsw #sxswi,iPad or iPhone App,Positive emotion,Positive,Apple
congrats! rt @mention just won an awesome ipad from @mention at the #sxswbuffalo lounge! my #sxsw experience is complete! #quibidswin,iPad,Positive emotion,Positive,Apple
congrats! rt @mention yes! gowalla wins best andoid app at the team android choice awards. thanks all! #sxsw,Android App,Positive emotion,Positive,Google
"eh there? rt @mention google to launch major new social network called circles, possibly today {link} #sxsw",Google,No emotion toward brand or product,Neutral,Google
i like it rt @mention @mention &quot;google before you tweet&quot; is the new &quot;think before you speak.&quot; - mark belinsky #911tweets panel #sxsw.,Google,Positive emotion,Positive,Google
"l.a.m.e.  rt @mention &quot;...by the law of averages, better than buzz&quot; rt @mention &quot;google circles will be ______ &quot;  #sxsw",Other Google product or service,Negative emotion,Negative,Google
love it . rt @mention from #apple to naomi campbell: pop-up stores are all the rage: {link} #sxsw,Apple,Positive emotion,Positive,Apple
"love you! rt @mention en route to austin, tx for #sxsw accompanied by fedoras + instruments + weird haircuts + apple products",Apple,No emotion toward brand or product,Neutral,Apple
"oooorkut? rt @mention rt @mention google to launch major new social network called circles, possibly today {link} #sxsw",Google,No emotion toward brand or product,Neutral,Google
shut. up. rt @mention it's not a rumor: apple is opening a temp store in downtown austin for #sxsw &amp; the ipad 2 launch. {link},Apple,No emotion toward brand or product,Neutral,Apple
too late? rt @mention #google to launch a #socialnetwork at #sxsw today? #socialmedia #fb,Google,No emotion toward brand or product,Neutral,Google
new #sxsw rule: no more ooing and ahing over your new ipad. we get it. its not a big deal. everybody has one now... :-),iPad,Negative emotion,Negative,Apple
"#sxsw hot rumor about google's new social network &quot;google circles&quot; {link} (photo, video, status sharing)",Google,Positive emotion,Positive,Google
google is saving users 2 years of time with gps navigation using alternate routes w traffic #sxsw,Google,Positive emotion,Positive,Google
wow. just saw someone using a computing device other than a mac or an ipad here at #sxsw a rare sighting indeed.,Apple,Positive emotion,Positive,Apple
i can now say that google got me drunk #sxsw #h4ckers,Google,I can't tell,Neutral,Google
my iphone says it can't connect to the internet even though #sxsw wifi works great on my computer. any suggestions?,Apple,Negative emotion,Negative,Apple
#sxsw app schedule #fail try sched.org - google: sched sxsw 2011 click first link. all the unofficial parties and room counts. genius.,Google,No emotion toward brand or product,Neutral,Google
i current screen in my browser is &quot;upload an application&quot; #android #lmndst #startupbus #sxsw,Google,No emotion toward brand or product,Neutral,Google
grabbed a seat in ballroom d to hear @mention from google #sxsw,Google,Positive emotion,Positive,Google
"expect to see several nfc  trials this yr, google &amp; android working w/ @mention #virtualwallet #digitalid #sxsw",Google,No emotion toward brand or product,Neutral,Google
"ok,i have seen two impressive lines since i'm at #sxsw  the one at the apple store yesterday. &amp; the @mention party now cc @mention",Apple,Positive emotion,Positive,Apple
"*spark is selected as a finalist in team android choice awards! if you're in austin 3/13, please come &amp; support {link} #sxsw",Google,No emotion toward brand or product,Neutral,Google
"#apple is setting up a pop-up store in downtown austin (to sell bajillions of ipad2s to #sxsw attendees, of course!) {link}",Apple,Positive emotion,Positive,Apple
google is setting up a bunch of computers at their #sxsw trade show exhibit. premiere of google circles? {link},Google,No emotion toward brand or product,Neutral,Google
i've seen several people working on ipad 2s at #sxsw today.,Apple,No emotion toward brand or product,Neutral,Apple
there's a short line building at the flash apple store downtown. people want their new ipads. #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
exclusive shot of #sxsw popup apple store! {link},Apple,Positive emotion,Positive,Apple
